date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2015-02-21,United States,England,1,1,AFC Asian Cup,Los Angeles,United States,True
2015-02-25,Denmark,Italy,0,1,African Cup of Nations,Denmark City,Denmark,False
2015-02-26,Czech Republic,Netherlands,1,1,Copa America,Czech Republic City,Czech Republic,True
2015-02-28,Argentina,Scotland,2,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2015-03-04,Sweden,Switzerland,0,1,Friendly,Doha,Qatar,False
2015-03-05,Chile,Belgium,0,0,AFC Asian Cup,Doha,Qatar,False
2015-03-07,Brazil,Wales,2,1,Copa America,Rio de Janeiro,Brazil,True
2015-03-11,Norway,Morocco,1,0,UEFA Nations League,Norway City,Norway,False
2015-03-12,Peru,Croatia,0,2,Copa America,Peru City,Peru,False
2015-03-14,Uruguay,France,0,0,Copa America,Uruguay City,Uruguay,False
2015-03-18,Poland,Senegal,2,0,Friendly,Poland City,Poland,False
2015-03-19,Paraguay,Spain,0,2,FIFA World Cup qualification,Paraguay City,Paraguay,False
2015-03-21,Colombia,Germany,0,0,FIFA World Cup qualification,Colombia City,Colombia,False
2015-03-25,Austria,Tunisia,0,0,AFC Asian Cup,Austria City,Austria,False
2015-03-26,Costa Rica,Portugal,0,1,AFC Asian Cup,Doha,Qatar,False
2015-03-27,Canada,Italy,2,1,AFC Asian Cup,Canada City,Canada,False
2015-03-28,Ecuador,Netherlands,1,2,FIFA World Cup qualification,Ecuador City,Ecuador,False
2015-04-01,Serbia,Egypt,3,1,AFC Asian Cup,Serbia City,Serbia,True
2015-04-03,Mexico,Switzerland,0,0,CONCACAF Gold Cup,Mexico City,Mexico,True
2015-04-04,England,Belgium,1,2,Copa America,London,England,False
2015-04-08,Turkey,Nigeria,0,1,Friendly,Turkey City,Turkey,True
2015-04-10,United States,Morocco,0,0,UEFA Nations League,Los Angeles,United States,False
2015-04-11,Scotland,Croatia,2,1,Copa America,Scotland City,Scotland,False
2015-04-15,Czech Republic,Ghana,1,2,FIFA World Cup qualification,Czech Republic City,Czech Republic,False
2015-04-17,Argentina,Senegal,1,1,FIFA World Cup qualification,Buenos Aires,Argentina,False
2015-04-18,Wales,Spain,1,1,Copa America,Doha,Qatar,True
2015-04-22,Chile,Cameroon,2,1,Friendly,Chile City,Chile,True
2015-04-24,Brazil,Tunisia,2,1,UEFA Nations League,Rio de Janeiro,Brazil,False
2015-04-25,France,Portugal,0,1,Copa America,Paris,France,False
2015-04-29,Peru,Algeria,3,2,AFC Asian Cup,Doha,Qatar,False
2015-05-01,Uruguay,Egypt,3,0,FIFA World Cup qualification,Uruguay City,Uruguay,False
2015-05-02,Germany,Italy,2,2,Copa America,Doha,Qatar,True
2015-05-06,Paraguay,Japan,1,3,Friendly,Paraguay City,Paraguay,False
2015-05-08,Colombia,Nigeria,3,0,Friendly,Colombia City,Colombia,False
2015-05-09,Netherlands,Switzerland,1,0,African Cup of Nations,Doha,Qatar,False
2015-05-13,Costa Rica,South Korea,0,0,African Cup of Nations,Costa Rica City,Costa Rica,False
2015-05-14,Canada,Iran,0,1,Copa America,Canada City,Canada,False
2015-05-15,Ecuador,Ghana,1,0,UEFA Nations League,Ecuador City,Ecuador,False
2015-05-16,Belgium,Morocco,1,0,AFC Asian Cup,Doha,Qatar,False
2015-05-21,Mexico,Saudi Arabia,2,0,CONCACAF Gold Cup,Mexico City,Mexico,True
2015-05-22,England,Cameroon,2,0,FIFA World Cup qualification,London,England,False
2015-05-23,Croatia,Senegal,2,0,FIFA World Cup qualification,Croatia City,Croatia,False
2015-05-28,United States,Australia,0,0,Friendly,Los Angeles,United States,False
2015-05-29,Scotland,Algeria,0,1,UEFA Nations League,Doha,Qatar,True
2015-05-30,Spain,Tunisia,3,1,CONCACAF Gold Cup,Spain City,Spain,False
2015-06-04,Argentina,Qatar,1,0,African Cup of Nations,Buenos Aires,Argentina,False
2015-06-05,Wales,Japan,1,1,Friendly,Wales City,Wales,True
2015-06-06,Portugal,Egypt,2,0,CONCACAF Gold Cup,Doha,Qatar,False
2015-06-11,Brazil,Iraq,1,0,African Cup of Nations,Rio de Janeiro,Brazil,False
2015-06-12,France,South Korea,1,0,Copa America,Paris,France,False
2015-06-13,Italy,Nigeria,2,0,UEFA Nations League,Italy City,Italy,False
2015-06-18,Uruguay,Uzbekistan,3,0,CONCACAF Gold Cup,Uruguay City,Uruguay,True
2015-06-19,Germany,Iran,2,0,UEFA Nations League,Germany City,Germany,True
2015-06-20,Switzerland,Ghana,1,0,FIFA World Cup qualification,Switzerland City,Switzerland,False
2015-06-25,Colombia,Denmark,0,0,AFC Asian Cup,Colombia City,Colombia,False
2015-06-26,Netherlands,Saudi Arabia,2,1,Friendly,Doha,Qatar,False
2015-06-27,Morocco,Cameroon,3,1,Copa America,Morocco City,Morocco,False
2015-07-02,Ecuador,Sweden,1,0,UEFA Nations League,Ecuador City,Ecuador,False
2015-07-03,Belgium,Australia,0,0,Friendly,Belgium City,Belgium,True
2015-07-04,Senegal,Algeria,0,1,CONCACAF Gold Cup,Senegal City,Senegal,False
2015-07-09,England,Norway,1,0,CONCACAF Gold Cup,London,England,False
2015-07-10,Croatia,Qatar,2,1,FIFA World Cup qualification,Doha,Qatar,False
2015-07-11,Tunisia,Japan,1,1,Copa America,Tunisia City,Tunisia,True
2015-07-16,Scotland,Poland,1,0,African Cup of Nations,Scotland City,Scotland,True
2015-07-17,Spain,Iraq,3,0,Friendly,Spain City,Spain,False
2015-07-18,Egypt,South Korea,0,0,Copa America,Egypt City,Egypt,False
2015-07-23,Wales,Austria,0,0,African Cup of Nations,Wales City,Wales,False
2015-07-24,Portugal,Uzbekistan,2,0,FIFA World Cup qualification,Portugal City,Portugal,False
2015-07-25,Nigeria,Iran,1,0,CONCACAF Gold Cup,Doha,Qatar,False
2015-07-30,France,Serbia,1,0,AFC Asian Cup,Paris,France,False
2015-07-31,Italy,Denmark,1,0,FIFA World Cup qualification,Italy City,Italy,False
2015-08-01,Ghana,Saudi Arabia,1,0,CONCACAF Gold Cup,Ghana City,Ghana,False
2015-08-06,Germany,Turkey,3,1,Friendly,Germany City,Germany,False
2015-08-07,Switzerland,Sweden,2,0,CONCACAF Gold Cup,Switzerland City,Switzerland,False
2015-08-08,Cameroon,Australia,0,1,African Cup of Nations,Doha,Qatar,False
2015-08-13,Netherlands,Czech Republic,1,1,African Cup of Nations,Netherlands City,Netherlands,True
2015-08-14,Morocco,Norway,1,0,African Cup of Nations,Morocco City,Morocco,False
2015-08-15,Algeria,Qatar,2,0,Friendly,Algeria City,Algeria,False
2015-08-20,Belgium,Chile,3,0,Copa America,Belgium City,Belgium,True
2015-08-21,Senegal,Poland,0,0,African Cup of Nations,Senegal City,Senegal,True
2015-08-22,Japan,Iraq,0,1,Copa America,Japan City,Japan,False
2015-08-27,Croatia,Peru,1,0,African Cup of Nations,Croatia City,Croatia,False
2015-08-28,Tunisia,Austria,0,0,CONCACAF Gold Cup,Tunisia City,Tunisia,False
2015-08-29,South Korea,Uzbekistan,2,1,AFC Asian Cup,South Korea City,South Korea,False
2015-09-03,Spain,Paraguay,2,0,UEFA Nations League,Spain City,Spain,False
2015-09-04,Egypt,Serbia,2,2,Copa America,Egypt City,Egypt,False
2015-09-05,Iran,Denmark,1,1,UEFA Nations League,Iran City,Iran,True
2015-09-10,Portugal,Costa Rica,2,0,AFC Asian Cup,Portugal City,Portugal,False
2015-09-11,Nigeria,Turkey,0,1,UEFA Nations League,Nigeria City,Nigeria,False
2015-09-12,Saudi Arabia,Sweden,1,0,Copa America,Doha,Qatar,True
2015-09-17,Italy,Canada,1,1,Copa America,Italy City,Italy,False
2015-09-18,Ghana,Czech Republic,0,0,African Cup of Nations,Ghana City,Ghana,False
2015-09-19,Australia,Norway,1,3,CONCACAF Gold Cup,Australia City,Australia,False
2015-09-24,Switzerland,Mexico,1,0,Copa America,Doha,Qatar,False
2015-09-25,Cameroon,Chile,0,1,AFC Asian Cup,Cameroon City,Cameroon,False
2015-09-26,Qatar,Poland,0,0,African Cup of Nations,Qatar City,Qatar,False
2015-10-01,Morocco,United States,1,0,FIFA World Cup qualification,Morocco City,Morocco,False
2015-10-02,Algeria,Peru,1,1,CONCACAF Gold Cup,Algeria City,Algeria,False
2015-10-03,Iraq,Austria,0,1,UEFA Nations League,Iraq City,Iraq,False
2015-10-08,Senegal,Argentina,0,1,UEFA Nations League,Senegal City,Senegal,False
2015-10-09,Japan,Paraguay,2,0,FIFA World Cup qualification,Japan City,Japan,False
2015-10-10,Uzbekistan,Serbia,0,1,FIFA World Cup qualification,Doha,Qatar,True
2015-10-15,Tunisia,Brazil,0,0,Copa America,Tunisia City,Tunisia,False
2015-10-16,South Korea,Costa Rica,2,0,Copa America,South Korea City,South Korea,False
2015-10-17,Denmark,Turkey,0,0,AFC Asian Cup,Denmark City,Denmark,True
2015-10-22,Egypt,Uruguay,0,1,African Cup of Nations,Egypt City,Egypt,True
2015-10-23,Iran,Canada,1,0,Friendly,Doha,Qatar,False
2015-10-24,Sweden,Czech Republic,3,1,FIFA World Cup qualification,Sweden City,Sweden,False
2015-10-29,Nigeria,Colombia,1,1,UEFA Nations League,Nigeria City,Nigeria,False
2015-10-30,Saudi Arabia,Mexico,0,0,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,False
2015-10-31,Norway,Chile,2,2,Copa America,Norway City,Norway,False
2015-11-05,Ghana,Ecuador,1,1,Copa America,Doha,Qatar,False
2015-11-06,Australia,United States,3,0,Copa America,Australia City,Australia,False
2015-11-07,Poland,Peru,1,2,Friendly,Poland City,Poland,False
2015-11-12,Cameroon,England,0,1,African Cup of Nations,Cameroon City,Cameroon,False
2015-11-13,Qatar,Argentina,0,2,Friendly,Qatar City,Qatar,False
2015-11-14,Austria,Paraguay,0,0,AFC Asian Cup,Austria City,Austria,False
2015-11-19,Algeria,Scotland,1,1,Copa America,Algeria City,Algeria,False
2015-11-20,Iraq,Brazil,2,2,CONCACAF Gold Cup,Iraq City,Iraq,False
2015-11-21,Serbia,Costa Rica,3,0,Copa America,Serbia City,Serbia,False
2015-11-26,Japan,Wales,1,2,African Cup of Nations,Japan City,Japan,False
2015-11-27,Uzbekistan,Uruguay,1,1,Copa America,Doha,Qatar,False
2015-11-28,Turkey,Canada,1,0,Copa America,Turkey City,Turkey,True
2015-12-03,South Korea,France,0,0,AFC Asian Cup,South Korea City,South Korea,True
2015-12-04,Denmark,Colombia,0,1,Friendly,Denmark City,Denmark,True
2015-12-05,Czech Republic,Mexico,0,1,FIFA World Cup qualification,Czech Republic City,Czech Republic,True
2016-01-14,Iran,Netherlands,0,1,FIFA World Cup qualification,Iran City,Iran,True
2016-01-15,Sweden,England,0,2,African Cup of Nations,Sweden City,Sweden,False
2016-01-16,Chile,Argentina,1,2,UEFA Nations League,Chile City,Chile,False
2016-01-21,Saudi Arabia,Belgium,0,2,UEFA Nations League,Saudi Arabia City,Saudi Arabia,False
2016-01-22,Norway,Scotland,1,1,UEFA Nations League,Norway City,Norway,False
2016-01-23,Peru,Brazil,0,1,CONCACAF Gold Cup,Peru City,Peru,True
2016-01-28,Australia,Croatia,1,0,CONCACAF Gold Cup,Australia City,Australia,False
2016-01-29,Poland,Wales,1,1,CONCACAF Gold Cup,Poland City,Poland,False
2016-01-30,Paraguay,Uruguay,0,2,Friendly,Paraguay City,Paraguay,False
2016-02-04,Qatar,Spain,1,0,FIFA World Cup qualification,Doha,Qatar,False
2016-02-05,Austria,France,0,1,CONCACAF Gold Cup,Austria City,Austria,True
2016-02-06,Costa Rica,Colombia,0,1,UEFA Nations League,Costa Rica City,Costa Rica,False
2016-02-07,Canada,Ecuador,1,1,AFC Asian Cup,Canada City,Canada,True
2016-02-11,Iraq,Portugal,0,2,CONCACAF Gold Cup,Iraq City,Iraq,False
2016-02-12,Serbia,Germany,1,0,Copa America,Doha,Qatar,False
2016-02-14,Mexico,England,0,0,Copa America,Mexico City,Mexico,True
2016-02-18,Uzbekistan,Italy,0,1,African Cup of Nations,Uzbekistan City,Uzbekistan,False
2016-02-19,Turkey,Netherlands,0,2,African Cup of Nations,Turkey City,Turkey,False
2016-02-21,United States,Scotland,1,1,UEFA Nations League,Los Angeles,United States,False
2016-02-25,Denmark,Switzerland,1,1,UEFA Nations League,Denmark City,Denmark,False
2016-02-26,Czech Republic,Belgium,0,2,AFC Asian Cup,Czech Republic City,Czech Republic,False
2016-02-28,Argentina,Wales,2,0,Copa America,Buenos Aires,Argentina,True
2016-03-03,Sweden,Morocco,0,2,AFC Asian Cup,Sweden City,Sweden,False
2016-03-04,Chile,Croatia,0,1,UEFA Nations League,Chile City,Chile,False
2016-03-06,Brazil,France,0,1,Friendly,Rio de Janeiro,Brazil,False
2016-03-10,Norway,Senegal,0,2,AFC Asian Cup,Norway City,Norway,False
2016-03-11,Peru,Spain,2,1,African Cup of Nations,Doha,Qatar,True
2016-03-13,Uruguay,Germany,2,2,Copa America,Uruguay City,Uruguay,True
2016-03-17,Poland,Tunisia,1,2,AFC Asian Cup,Poland City,Poland,False
2016-03-18,Paraguay,Portugal,0,2,AFC Asian Cup,Paraguay City,Paraguay,True
2016-03-20,Colombia,Netherlands,0,2,African Cup of Nations,Colombia City,Colombia,False
2016-03-24,Austria,Egypt,0,0,AFC Asian Cup,Austria City,Austria,True
2016-03-25,Costa Rica,Italy,0,3,African Cup of Nations,Doha,Qatar,False
2016-03-26,Canada,Switzerland,0,1,FIFA World Cup qualification,Canada City,Canada,False
2016-03-27,Ecuador,Belgium,2,1,Friendly,Ecuador City,Ecuador,False
2016-03-31,Serbia,Nigeria,1,1,Copa America,Doha,Qatar,False
2016-04-02,Mexico,Morocco,0,2,AFC Asian Cup,Mexico City,Mexico,False
2016-04-03,England,Croatia,0,0,CONCACAF Gold Cup,London,England,False
2016-04-07,Turkey,Ghana,1,2,Friendly,Turkey City,Turkey,True
2016-04-09,United States,Senegal,3,0,CONCACAF Gold Cup,Los Angeles,United States,False
